name,price,location,Тип предложения,Период аренды,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Интернет,Санузел,Газ,Балкон,Входная дверь,Парковка,Мебель,Пол,Высота потолков,Правоустанавливающие документы,Телефон,Безопасность,Разное,"
                                    Дом                            ",Площадь участка,Возможность ипотеки,Кол-во этажей,Канализация,Питьевая вода,Электричество,Коммуникации,"
                                    Тип строения                            ",Поливная вода,Местоположение
"3-комн. кв., 120 м2",$ 1 000,"Бишкек, Моссовет, Усенбаева, 52",от агента,,индивид. планировка,"кирпичный, 2017 г.",7 этаж из 9,"120 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 105 м2",$ 715,"Бишкек, Московская - Белинка, Табышалиева, 11",от агента,,индивид. планировка,"кирпичный, 2017 г.",6 этаж из 9,"105 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 109 м2",$ 1 000,"Бишкек, Дворец спорта, Рыскулова, 79б",от агента,,индивид. планировка,"кирпичный, 2017 г.",12 этаж из 12,"109 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 113 м2",$ 1 000,"Бишкек, Золотой квадрат, Жоомарта Боконбаева, 103",от агента,,индивид. планировка,"монолитный, 2014 г.",9 этаж из 12,"113 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 60 м2",$ 600,"Бишкек, Парк Панфилова/Спартак, Якова Логвиненко, 55",от агента,,индивид. планировка,"кирпичный, 2018 г.",10 этаж из 16,"60 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 108 м2",$ 1 500,"Бишкек, Золотой квадрат, Жоомарта Боконбаева, 103",от агента,,индивид. планировка,"монолитный, 2014 г.",9 этаж из 12,"108 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 60 м2",$ 500,"Бишкек, Центральная мечеть, Гоголя, 20",от агента,,105 серия,"панельный, 1981 г.",4 этаж из 5,"60 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 145 м2",$ 2 000,"Бишкек, Магистраль, Чынгыза Айтматова пр-т, 299",от агента,,индивид. планировка,"кирпичный, 2017 г.",11 этаж из 11,"145 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 40 м2",$ 600,"Бишкек, Магистраль, Токомбаева, 21",от агента,,индивид. планировка,"кирпичный, 2021 г.",7 этаж из 10,"40 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"1-комн. кв., 55 м2",$ 400,"Бишкек, 7 м-н, Юнусалиева, 179",от агента,,индивид. планировка,"монолитный, 2018 г.",10 этаж из 12,"55 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 55 м2",$ 600,"Бишкек, VEFA, Фатьянова, 170",от агента,,индивид. планировка,"кирпичный, 2018 г.",4 этаж из 10,"55 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"Дом, 3-комн., 90 м2",$ 69/сутки,"с. Бостери, с. Бостери, квартал 55",от собственника,посуточно,,,,"90 м2, жилая: 80 м2, кухня: 18 м2",электрическое,евроремонт,adsl,совмещенный,магистральный,,,,полностью меблирована,паркет,3.3 м.,,нет,"сигнализация,                                             охрана,                                             видеонаблюдение","пластиковые окна,                                             бассейн,                                             3 фазы","кирпичный, 2020 г.",5 соток,,1,центральная,центральное водоснабжение,есть,,,,
"3-комн. кв., 120 м2",$ 850/мес.,"Бишкек, Сквер Тоголок Молдо, Логвиненко 8/2/Боконбаева",от собственника,на долгий срок,элитка,"монолитный, 2017 г.",9 этаж из 10,120 м2,центральное,евроремонт,проводной,2 с/у и более,магистральный,лоджия,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,есть,"охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 60 м2",$ 1 000,"Бишкек, Военторг, Сагынбая манасчы, 141",от агента,,индивид. планировка,"кирпичный, 2021 г.",5 этаж из 14,"60 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 45 м2",$ 600,"Бишкек, Магистраль, Токомбаева, 21",от агента,,индивид. планировка,"кирпичный, 2021 г.",4 этаж из 10,"45 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 55 м2",$ 400,"Бишкек, Сквер Тоголок Молдо, Коенкозова, 8",от агента,,индивид. планировка,"кирпичный, 1983 г.",4 этаж из 5,"55 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 100 м2",$ 777,"Бишкек, Филармония, Манаса, 64",от агента,,индивид. планировка,"кирпичный, 1956 г.",3 этаж из 3,"100 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"Коммерческая недвижимость, 100 м2",$ 1 200,"Бишкек, Московская",от агента,,индивид. планировка,,,"100 м2, жилая",,,,,,,,,,,2.5 м.,,,,,,1 соток,нет,9,,,,,,,
"5-комн. кв., 225 м2",$ 600,"Бишкек, Асанбай м-н, Асанбай мкр., 78",от агента,,индивид. планировка,"кирпичный, 2008 г.",6 этаж из 6,"225 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 138 м2",$ 1 300,"Бишкек, Московская - Уметалиева, Шевченко, 83",от агента,,индивид. планировка,"монолитный, 2016 г.",4 этаж из 10,"138 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 90 м2",$ 800,"Бишкек, Военторг, Сыдыкова, 123",от агента,,индивид. планировка,"кирпичный, 2020 г.",13 этаж из 13,"90 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"1-комн. кв., 45 м2",$ 46/сутки,"Бишкек, Московская/Тимирязева",от собственника,посуточно,индивид. планировка,кирпичный,4 этаж из 8,45 м2,центральное,евроремонт,оптика,,магистральный,лоджия,бронированная,паркинг,полностью меблирована,ламинат,,,,домофон,"пластиковые окна,                                             новая сантехника,                                             комнаты изолированы,                                             встроенная кухня",,,,,,,,,,,
"3-комн. кв., 78 м2",$ 625,"Бишкек, Бишкек-Парк, Киевская, 154",от агента,,индивид. планировка,"кирпичный, 1966 г.",2 этаж из 5,"78 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 52 м2",$ 568,"Бишкек, Баха, Валдайская, 1",от агента,,индивид. планировка,"кирпичный, 2020 г.",3 этаж из 10,"52 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"Коммерческая недвижимость, 492 м2",$ 5 000,"Бишкек, Чынгыза Айтматова пр-т",от агента,,индивид. планировка,,,"492 м2, жилая",,,,,,,,,,,3 м.,,,,,,4.92 соток,нет,12,,,,,,,
"Коммерческая недвижимость, 900 м2",$ 9 500,"Бишкек, 8 м-н, Чокана Валиханова",от агента,,индивид. планировка,,,"900 м2, жилая",,,,,,,,,,,3.5 м.,,,,,,9 соток,нет,3,,,,,,,
"Дом, 3-комн., 113 м2",$ 450,"Бишкек, Арча-Бешик ж/м, Чуйкова",от агента,,индивид. планировка,,,"113 м2, жилая: 113 м2",,,,,,,,,,,,,,,,,2 соток,нет,1,,,,,,,
"5-комн. кв., 126 м2",$ 800,"Бишкек, Московская - Белинка, Жоомарта Боконбаева, 149",от агента,,индивид. планировка,"кирпичный, 1997 г.",2 этаж из 5,"126 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 75 м2",$ 600,"Бишкек, Московская - Уметалиева, Киевская, 210",от агента,,индивид. планировка,"кирпичный, 2020 г.",3 этаж из 10,"75 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"1-комн. кв., 55 м2",$ 500,"Бишкек, Магистраль, Токомбаева, 33",от агента,,индивид. планировка,"кирпичный, 2016 г.",6 этаж из 12,"55 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 45 м2",$ 350,"Бишкек, Политех, Шота Руставели, 107",от агента,,индивид. планировка,"кирпичный, 1961 г.",4 этаж из 4,"45 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"1-комн. кв., 45 м2",$ 500,"Бишкек, Дворец спорта, Жибек-Жолу пр-т, 372",от агента,,индивид. планировка,"кирпичный, 2010 г.",6 этаж из 12,"45 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 45 м2",$ 400,"Бишкек, 10 м-н, 10-й микрорайон, 3",от агента,,104 серия,"кирпичный, 1980 г.",4 этаж из 4,"45 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"Коммерческая недвижимость, 15 м2",$ 300/мес.,"Бишкек, 10 м-н, Байтик баатыра/Масалиева",от агента,на долгий срок,,,,15 м2,центральное,евроремонт,проводной,,,,,,,,,,возможно подключение,"решетки на окнах,                                             сигнализация,                                             охрана,                                             видеонаблюдение",,панельный,,,,,,,,,,
"Коммерческая недвижимость, 50 м2",$ 600/мес.,"Бишкек, VEFA, Байтик Баатыра/Кулатова",от агента,на долгий срок,,,,50 м2,центральное,евроремонт,проводной,,,,,,,,,,возможно подключение,,,кирпичный,,,,,,,,,,
"Коммерческая недвижимость, 41 м2",$ 500/мес.,"Бишкек, Юбилейка, Байтик Баатыра/Кулатова",от агента,на долгий срок,,,,41 м2,центральное,евроремонт,проводной,,,,,,,,,,возможно подключение,,,,,,,,,,,,,
"2-комн. кв., 50 м2",$ 576/мес.,"Бишкек, Площадь Победы, Ибраимова 103",от агента,на долгий срок,элитка,кирпичный,3 этаж из 9,50 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"Коммерческая недвижимость, 180 м2",$ 2 700/мес.,"Бишкек, Политех, Ахунбаева/Токтоналиева",от агента,на долгий срок,,,,180 м2,на газе,евроремонт,проводной,,,,,,,,,,,"сигнализация,                                             охрана,                                             видеонаблюдение,                                             консьерж",,"монолитный, 2022 г.",,,,,,,,,,
"Коммерческая недвижимость, 48 м2",$ 500/мес.,"Бишкек, VEFA, Горького/Элебаева",от агента,на долгий срок,,,,48 м2,центральное,евроремонт,проводной,,,,,,,,,,,решетки на окнах,,,,,,,,,,,,
"Коммерческая недвижимость, 400 м2",$ 2 500/мес.,"Бишкек, Ленинградская/Держинка",от агента,на долгий срок,,,,400 м2,,хорошее,проводной,,,,,,,,,,,решетки на окнах,,кирпичный,,,,,,,,,,
"Коммерческая недвижимость, 60 м2",$ 700/мес.,"Бишкек, Аламединский рынок, Курманжан Датка/Салиева",от агента,на долгий срок,,,,60 м2,центральное,среднее,проводной,,,,,,,,,,возможно подключение,,,кирпичный,,,,,,,,,,
"1-комн. кв., 27 м2",$ 346/мес.,"Бишкек, Ак Эмир рынок, Московская/Шопокова",от собственника,помесячно,106 серия,кирпичный,9 этаж из 9,27 м2,,хорошее,,,,,,,,,,,,,кондиционер,,,,,,,,,,,
"Коммерческая недвижимость, 37 м2",$ 330/мес.,"Бишкек, 12 м-н, Нуркамал/Айтиева",от агента,на долгий срок,,,,37 м2,электрическое,хорошее,проводной,,,,,,,,,,возможно подключение,решетки на окнах,,кирпичный,,,,,,,,,,
"2-комн. кв., 60 м2",$ 40/сутки,"Бишкек, VEFA, Радищева 7/Горького",от собственника,посуточно,элитка,"монолитный, 2006 г.",5 этаж из 16,"60 м2, жилая: 50 м2, кухня: 15 м2",центральное,евроремонт,проводной,совмещенный,магистральный,нет,металлическая,рядом охраняемая стоянка,полностью меблирована,ламинат,2.9 м.,,нет,"решетки на окнах,                                             домофон,                                             охрана,                                             кодовый замок","пластиковые окна,                                             кухня-студия,                                             новая сантехника,                                             встроенная кухня,                                             тихий двор",,,,,,,,,,,
"1-комн. кв., 45 м2",$ 35/сутки,"Бишкек, VEFA, Льва Толстого 8/Тыныстанова",от собственника,посуточно,элитка,монолитный,6 этаж из 10,"45 м2, жилая: 40 м2, кухня: 25 м2",центральное,хорошее,проводной,совмещенный,магистральный,лоджия,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,есть,,,,,,,,,,,,,
"Коммерческая недвижимость, 715 м2",$ 8 580/мес.,"Бишкек, Карла Маркса, Юнусалиева/Джантошева",от агента,на долгий срок,,,,715 м2,,среднее,,,,,,,,,,,,,,"кирпичный, 2023 г.",,,,,,,,,,
"2-комн. кв., 60 м2",$ 800/мес.,"Бишкек, VEFA, Радищева 7/Горького",от собственника,помесячно,элитка,"кирпичный, 2018 г.",4 этаж из 10,"60 м2, жилая: 45 м2, кухня: 15 м2",центральное,хорошее,проводной,совмещенный,магистральный,балкон,металлическая,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,технический паспорт,есть,,,,,,,,,,,,,
"Коммерческая недвижимость, 374 м2",$ 5 610/мес.,"Бишкек, Золотой квадрат",от агента,на долгий срок,,,,374 м2,центральное,под самоотделку (псо),,,,,,,,,,,,"охрана,                                             видеонаблюдение",,кирпичный,,,,,,,,,,
"2-комн. кв., 60 м2",$ 35/сутки,"Бишкек, Юг-2 м-н, Радищева 7/Горького",от собственника,посуточно,элитка,"монолитный, 2013 г.",10 этаж из 10,"60 м2, жилая: 60 м2, кухня: 30 м2",,хорошее,проводной,совмещенный,магистральный,лоджия,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,есть,,,,,,,,,,,,,
"1-комн. кв., 40 м2",$ 23/сутки,"Бишкек, Моссовет, Тыныстанова 189/Московская",от собственника,посуточно,индивид. планировка,"кирпичный, 1985 г.",4 этаж из 4,"40 м2, жилая: 35 м2, кухня: 20 м2",центральное,хорошее,проводной,совмещенный,магистральный,лоджия,металлическая,паркинг,полностью меблирована,линолеум,2.8 м.,,нет,,,,,,,,,,,,,
"3-комн. кв., 59 м2",$ 600,"Бишкек, Карпинка, Ахматбека Суюмбаева, 150",от агента,,104 серия,"кирпичный, 1974 г.",3 этаж из 5,"59 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"4-комн. кв., 114 м2",$ 600,"Бишкек, Тунгуч м-н, микрорайон Тунгуч, 36Б",от агента,,индивид. планировка,"панельный, 2012 г.",4 этаж из 9,"114 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"4-комн. кв., 120 м2",$ 1 350,"Бишкек, Парк Панфилова/Спартак, Панфилова, 190",от агента,,индивид. планировка,"кирпичный, 2015 г.",4 этаж из 10,"120 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 85 м2",$ 560,"Бишкек, Джал-23 мкр, 67",от агента,,индивид. планировка,"кирпичный, 2015 г.",5 этаж из 11,"85 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 75 м2",$ 800/мес.,"Бишкек, Магистраль, Сухэ-Батора 57/1/Токомбаева",от агента,на долгий срок,элитка,"монолитный, 2019 г.",12 этаж из 12,75 м2,центральное,евроремонт,,,,,,рядом охраняемая стоянка,полностью меблирована,,3 м.,,,"кодовый замок,                                             домофон,                                             решетки на окнах,                                             охрана,                                             видеонаблюдение",,,,,,,,,,,,
"2-комн. кв., 76 м2",$ 650/мес.,"Бишкек, VEFA",от агента,на долгий срок,элитка,монолитный,6 этаж из 12,76 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 55 м2",$ 600/мес.,"Бишкек, Магистраль, Токомбаева 29/2",от агента,на долгий срок,элитка,"монолитный, 2017 г.",11 этаж из 12,55 м2,электрическое,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 89 м2",$ 800/мес.,"Бишкек, Джал-29 м-н",от агента,на долгий срок,элитка,монолитный,4 этаж из 10,89 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"4-комн. кв., 160 м2",$ 850/мес.,"Бишкек, Вечерка",от агента,на долгий срок,элитка,монолитный,3 этаж из 9,160 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 57 м2",$ 600/мес.,"Бишкек, Военторг, Исанова 45",от агента,на долгий срок,элитка,"монолитный, 2017 г.",9 этаж из 12,57 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 40 м2",$ 600/мес.,"Бишкек, Магистраль, Аалы Токомбаева 9/6/Токомбаева",от агента,на долгий срок,элитка,"монолитный, 2022 г.",7 этаж из 11,40 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 55 м2",$ 565/мес.,"Бишкек, Джал-23 м-н (Нижний Джал)",от агента,на долгий срок,элитка,монолитный,5 этаж из 11,55 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 43 м2",$ 550/мес.,"Бишкек, Молодая Гвардия",от агента,на долгий срок,элитка,монолитный,9 этаж из 10,43 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 43 м2",$ 600/мес.,"Бишкек, Военторг, Токтогула 147",от агента,на долгий срок,элитка,"монолитный, 2016 г.",3 этаж из 11,43 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 64 м2",$ 650/мес.,"Бишкек, БГУ",от агента,на долгий срок,элитка,монолитный,9 этаж из 9,64 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 60 м2",$ 800/мес.,"Бишкек, Военторг, Токтогула/Тоголок Молдо",от агента,на долгий срок,элитка,"монолитный, 2021 г.",5 этаж из 13,60 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 96 м2",$ 1 000/мес.,"Бишкек, Золотой квадрат",от агента,на долгий срок,элитка,монолитный,2 этаж из 2,96 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 750/мес.,"Бишкек, Душанбинка",от агента,на долгий срок,элитка,монолитный,3 этаж из 10,100 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 48 м2",$ 553/мес.,"Бишкек, Каралаева (Набережная)",от агента,на долгий срок,элитка,"монолитный, 2017 г.",10 этаж из 12,48 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 48 м2",$ 800/мес.,"Бишкек, Сквер Тоголок Молдо, Чуйкова/Коёнкозова",от агента,на долгий срок,элитка,"монолитный, 2022 г.",11 этаж из 12,48 м2,центральное,евроремонт,,,,,,,,,2.8 м.,,,,,,,,,,,,,,,
"3-комн. кв., 76 м2",$ 650/мес.,"Бишкек, Карпинка",от агента,на долгий срок,элитка,монолитный,6 этаж из 12,76 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 75 м2",$ 700/мес.,"Бишкек, Магистраль",от агента,на долгий срок,элитка,монолитный,7 этаж из 9,75 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 67 м2",$ 600/мес.,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",от агента,на долгий срок,элитка,"монолитный, 2022 г.",7 этаж из 14,67 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 75 м2",$ 700/мес.,"Бишкек, Военторг",от агента,на долгий срок,элитка,монолитный,3 этаж из 10,75 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 45 м2",$ 461/мес.,"Бишкек, Дворец спорта",от агента,на долгий срок,элитка,монолитный,6 этаж из 12,45 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 65 м2",$ 750/мес.,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",от агента,на долгий срок,элитка,"монолитный, 2019 г.",3 этаж из 12,65 м2,,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 73 м2",$ 1 200/мес.,"Бишкек, Азия Молл",от агента,на долгий срок,элитка,монолитный,2 этаж из 10,73 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 80 м2",$ 800/мес.,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя",от агента,на долгий срок,элитка,"монолитный, 2019 г.",5 этаж из 17,80 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"Коммерческая недвижимость, 310 м2",$ 1 150,"Бишкек, Арча-Бешик ж/м, Дуйшобаев Тукуш",от агента,,индивид. планировка,,,"310 м2, жилая",,,,,,,,,,,2.5 м.,,,,,,3.1 соток,нет,2,,,,,,,
